2018-05-31 14:22:39 10056: INFO  PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$6af4cd7a] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-05-31 14:22:39 10056: INFO  PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'spring.datasource-com.haier.interconn.boot.mybatis.mysql.MyDataSourceConfigProperties' of type [com.haier.interconn.boot.mybatis.mysql.MyDataSourceConfigProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-05-31 14:22:39 10056: INFO  PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'mybatis-com.haier.interconn.boot.mybatis.mysql.MyBatisConfigProperties' of type [com.haier.interconn.boot.mybatis.mysql.MyBatisConfigProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-05-31 14:22:39 10056: INFO  PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'com.haier.interconn.boot.mybatis.mysql.MyBatisConfig' of type [com.haier.interconn.boot.mybatis.mysql.MyBatisConfig$$EnhancerBySpringCGLIB$$69896b8] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-05-31 14:22:39 10056: INFO  HikariDataSource - HikariPool-1 - Started.
2018-05-31 14:22:40 10056: INFO  PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'dataSource1' of type [com.zaxxer.hikari.HikariDataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-05-31 14:22:40 10056: INFO  PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.boot.autoconfigure.jdbc.DataSourceAutoConfiguration' of type [org.springframework.boot.autoconfigure.jdbc.DataSourceAutoConfiguration$$EnhancerBySpringCGLIB$$30ce6ddd] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-05-31 14:22:40 10056: INFO  PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'spring.datasource-org.springframework.boot.autoconfigure.jdbc.DataSourceProperties' of type [org.springframework.boot.autoconfigure.jdbc.DataSourceProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-05-31 14:22:40 10056: INFO  PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'dataSourceInitializer' of type [org.springframework.boot.autoconfigure.jdbc.DataSourceInitializer] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-05-31 14:22:40 10056: INFO  PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$4edaca7d] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-05-31 14:22:42 10056: INFO  TomcatEmbeddedServletContainer - Tomcat initialized with port(s): 8090 (http)
2018-05-31 14:22:42 10056: INFO  StandardService - Starting service [Tomcat]
2018-05-31 14:22:42 10056: INFO  StandardEngine - Starting Servlet Engine: Apache Tomcat/8.5.23
2018-05-31 14:22:43 10056: INFO  [/] - Initializing Spring embedded WebApplicationContext
2018-05-31 14:22:43 10056: INFO  ContextLoader - Root WebApplicationContext: initialization completed in 5631 ms
2018-05-31 14:22:43 10056: INFO  ServletRegistrationBean - Mapping servlet: 'dispatcherServlet' to [/]
2018-05-31 14:22:43 10056: INFO  FilterRegistrationBean - Mapping filter: 'characterEncodingFilter' to: [/*]
2018-05-31 14:22:43 10056: INFO  FilterRegistrationBean - Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
2018-05-31 14:22:43 10056: INFO  FilterRegistrationBean - Mapping filter: 'httpPutFormContentFilter' to: [/*]
2018-05-31 14:22:43 10056: INFO  FilterRegistrationBean - Mapping filter: 'requestContextFilter' to: [/*]
2018-05-31 14:22:45 10056: INFO  RequestMappingHandlerAdapter - Looking for @ControllerAdvice: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@6a10b263: startup date [Thu May 31 14:22:37 CST 2018]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@53b7f657
